Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score,Price Change (%)_normalized,Beta_normalized,P/E Ratio_normalized,Market Cap_normalized,Dividend Yield_normalized,RSI Score_normalized,score
Aegon Nv,AEF,Financial Services,5.37,5.37,5.36,0.187,0.989,9.421053,272537152.0,5.52,4.4,0.074499995,72604.0,61.5683421767136,0.4339431818181818,0.9999409995862457,0.0,7.864879829184159e-05,0.05090086661642803,0.615683421767136,0.30214873116379026
Aegon Nv,AEG,Financial Services,6.18,6.26,6.23,-0.803,1.152,,11041063936.0,6.96,4.63,0.0558,2555601.0,31.340890542830763,0.42269318181818183,0.9999421442026992,,0.0031862333870084658,0.03809001849695143,0.3134089054283076,0.034028170976210005
Agnico-Eagle Mines Limited,AEM,Basic Materials,69.93,69.28,69.8,0.186,1.052,88.51898,34838634496.0,71.5,43.22,0.0229,2611611.0,59.44454695344326,0.4339318181818182,0.999941441984016,0.0,0.010053743214911072,0.015551140645338085,0.5944454695344326,0.30032213707254335
American Eagle Outfitters,AEO,Consumer Cyclical,19.82,19.39,19.21,3.175,1.486,17.855856,3893242624.0,26.44,12.04,0.0252,4721959.0,45.96701795274959,0.4678977272727272,0.9999444896131008,0.0,0.0011235130355974475,0.017126806878125643,0.45967017952749595,0.31566195871428304
American Electric Power Company,AEP,Utilities,87.11,87.9,87.86,-0.854,0.524,16.221601,45917597696.0,93.44,69.38,0.0404,2744818.0,38.363462083806404,0.42211363636363636,0.9999377342693693,0.0,0.013250913634771414,0.02753990546002603,0.38363462083806404,0.2968832686507037
Aercap Holdings N.V.,AER,Industrials,93.19,93.91,93.57,-0.406,1.83,6.2085276,18483585024.0,96.95,57.3,0.0107,1518644.0,31.00895695529067,0.42720454545454545,0.9999469052453706,0.0,0.005333998285418852,0.007193258888812769,0.31008956955290673,0.27807595681053054
The Aes Corp.,AES,Utilities,17.85,17.74,17.71,0.791,1.079,24.452055,12685406208.0,22.6,11.43,0.0379,7906481.0,18.852966081776273,0.44080681818181816,0.9999416315830605,0.0,0.0036607581577166445,0.025827224772213473,0.18852966081776273,0.25936431250273356
Alliance National Municipal,AFB,Financial Services,11.16,11.14,11.16,0.0,0.537,58.736843,320793088.0,11.18,8.95,0.035099998,66921.0,79.89941750329879,0.4318181818181818,0.9999378255577982,0.0,9.257451032614763e-05,0.02390902103171885,0.798994175032988,0.25977117136772626
American Financial Group  ,AFG,Financial Services,120.9,120.56,119.65,1.045,0.772,11.569378,10139520000.0,137.72,105.22,0.0235,267295.0,19.743568082761172,0.44369318181818185,0.9999394757717034,0.0,0.002926065575964228,0.015962184010413098,0.19743568082761173,0.25953220922075837
Aflac Incorporated,AFL,Financial Services,88.52,89.22,89.05,-0.595,0.947,9.7381735,50299011072.0,91.15,69.0,0.0226,2236932.0,27.535626780134933,0.4250568181818182,0.9999407046543987,0.0,0.014515303180079014,0.015345618962800575,0.2753562678013493,0.2733563599326707
Apollo Senior Floating Rate Fund Inc.,AFT,Financial Services,14.93,14.77,14.77,1.083,0.483,6.463204,232513856.0,15.14,12.54,0.1165,98245.0,47.15262580776721,0.444125,0.9999374463597093,0.0,6.709886390118355e-05,0.07967390559704049,0.47152625807767207,0.32687174798536167
First Majestic Silver,AG,Basic Materials,6.54,6.31,6.4,2.187,1.349,,1903617408.0,8.44,4.17,0.0023,7483963.0,59.30002645870577,0.4566704545454545,0.9999435275735048,,0.0005493464125687293,0.0014386517777625538,0.5930002645870577,0.05024882750386553
Agco Corp.,AGCO,Industrials,94.57,95.13,94.31,0.276,1.271,6.3985114,7056766464.0,140.46,94.1,0.0123000005,802281.0,32.843005271348616,0.4349545454545455,0.9999429798429321,0.0,0.0020364436646811332,0.008289374871548948,0.3284300527134862,0.2827964137173638
Alpine Global Dynamic Dividend Fund,AGD,Financial Services,9.8,9.71,9.1,7.692,1.018,15.555556,243677984.0,9.89,8.2,0.0796,55377.0,52.302424006768476,0.5192272727272728,0.9999412032296638,0.0,7.032061120377722e-05,0.05439473864492704,0.5230242400676848,0.3341711023626934
Alamos Gold Inc.,AGI,Basic Materials,16.74,16.48,16.57,1.026,1.078,32.19231,6660929536.0,17.29,10.78,0.006,2223422.0,48.97367391931183,0.4434772727272728,0.9999416245608738,0.0,0.0019222129289666226,0.003973419195725149,0.4897367391931183,0.31546168142366887
Federal Agricultural Mortgage Corp.,AGM,Financial Services,181.27,183.0,181.54,-0.149,1.05,11.053049,1909190016.0,199.4,140.44,0.0309,48226.0,54.63198078534505,0.430125,0.9999414279396424,0.0,0.0005509545574047982,0.02103171884633829,0.5463198078534505,0.3095220848603538
Federal Agricultural Mortgage  ,AGM-A,Financial Services,140.0,132.0,130.0,7.692,1.05,8.541794,1909180032.0,160.48,112.39,0.04,993.0,62.570322759198895,0.5192272727272728,0.9999414279396424,0.0,0.0005509516762191767,0.027265876549976024,0.6257032275919889,0.30825757307434604
Assured Guaranty Ltd,AGO,Financial Services,76.7,76.62,76.14,0.735,1.109,5.968871,4175770368.0,96.6,55.24,0.0162,448970.0,31.300426267512165,0.44017045454545456,0.9999418422486654,0.0,0.0012050449740649998,0.010961156402000412,0.31300426267512166,0.28094497226978254
Ashford Hospitality Trust Inc,AHT,Real Estate,1.01,1.03,0.9961,1.395,2.325,,46847232.0,4.27,0.77,,387950.0,45.676335164518306,0.44767045454545457,0.9999503812278521,,1.3519135591576731e-05,,0.45676335164518306,0.05850955230162874
Ashford Hospitality Trust Inc 8,AHT-PD,Real Estate,16.39,16.2,16.715,-1.944,2.325,,242088480.0,17.75,8.23,0.1289,2336.0,70.53371456822754,0.4097272727272727,0.9999503812278521,,6.98619116775391e-05,0.0881688018085908,0.7053371456822753,0.03803737020273655
Arlington Asset Investment Corp,AI,Technology,29.9,29.92,29.94,-0.134,1.817,,3732058112.0,44.9,20.23,,5539595.0,52.156328985801466,0.43029545454545454,0.9999468139569418,,0.0010769983622834298,,0.5215632898580147,0.06034467865074939
Apollo Investment Corporation,AIB,Financial Services,11.73,11.74,11.73,0.0,-0.025,,42369112.0,12.25,10.62,,231.0,47.15621090256496,0.4318181818181818,0.999933879088799,,1.2226838420611764e-05,,0.4715621090256496,0.05909298385281936
Apollo Tactical Income Fund Inc,AIF,Financial Services,15.05,14.98,14.91,0.939,0.603,6.270833,217738880.0,15.45,12.49,0.1162,89291.0,72.38365717441323,0.4424886363636364,0.999938289022129,0.0,6.283509703341867e-05,0.07946838391450298,0.7238365717441323,0.28751211249611003
American International Group,AIG,Financial Services,74.81,74.04,73.88,1.259,1.089,11.182362,49649000448.0,80.83,57.02,0.0214,4334086.0,24.96229715778034,0.446125,0.9999417018049288,0.0,0.014327722925308626,0.014523532232650545,0.24962297157780342,0.2711866528741288
Albany International Corp.,AIN,Consumer Cyclical,82.55,83.26,82.44,0.133,1.27,23.188204,2578564864.0,99.41,78.2,0.0126,163257.0,41.0734617233452,0.4333295454545455,0.9999429728207452,0.0,0.0007441229455644512,0.008494896211550319,0.41073461723345195,0.2989254495196642
Aar ,AIR,Industrials,72.35,71.58,71.14,1.701,1.546,42.81065,2563150592.0,73.95,55.0,,265477.0,47.779456747340014,0.4511477272727273,0.9999449109443106,0.0,0.0007396746904712237,,0.47779456747340016,0.31331054896020516
Applied Industrial Technologies,AIT,Industrials,188.68,190.36,189.44,-0.401,1.057,19.79853,7283538432.0,201.76,138.38,0.0078,261244.0,44.936263363304924,0.4272613636363636,0.9999414770949502,0.0,0.0021018855851076866,0.005206549290950195,0.44936263363304924,0.3052190819792702
Apartment Investment And Management,AIV,Real Estate,8.2,8.24,8.22,-0.243,1.508,,1187581440.0,8.93,5.63,,991257.0,28.138765785506422,0.4290568181818182,0.999944644101211,,0.000342712544839512,,0.2813876578550642,0.02067586114264841
Assurant,AIZ,Financial Services,161.4,160.12,161.28,0.074,0.538,11.286713,8390508032.0,189.48,124.22,0.0178,345193.0,15.693802379629957,0.4326590909090909,0.9999378325799849,0.0,0.002421335193966811,0.012057272042200452,0.15693802379629956,0.2489462730654618
Arthur J. Gallagher & Co.,AJG,Financial Services,264.54,265.0,264.67,-0.049,0.727,53.768295,57806225408.0,266.39,212.39,0.0091,841986.0,66.99064884868571,0.43126136363636364,0.9999391597732961,0.0,0.016681737274797433,0.006097143248612729,0.6699064884868571,0.2836015932479558
Acadia Realty Trust,AKR,Real Estate,18.45,18.43,18.33,0.655,1.485,205.0,2032286080.0,18.55,13.24,0.039,906272.0,74.60502922507868,0.43926136363636364,0.9999444825909138,0.0,0.0005864776553262748,0.026580804274851,0.7460502922507868,0.2720595064567086
Air Lease Corporation Class A C,AL,Industrials,47.64,47.69,47.52,0.253,1.604,9.624243,5305523712.0,52.31,33.33,0.0176,800337.0,38.34971676740801,0.43469318181818184,0.9999453182311467,0.0,0.0015310695223887188,0.011920257587175449,0.3834971676740801,0.2944460374541026
Albemarle Corp.,ALB,Basic Materials,99.15,99.15,98.35,0.813,1.575,35.923912,11652802560.0,247.44,92.29,0.0161,2719593.0,41.44557486698016,0.4410568181818182,0.9999451145877287,0.0,0.0033627690968968124,0.01089264917448791,0.4144557486698016,0.3015699677470474
Allete,ALE,Utilities,62.37,62.18,62.04,0.532,0.787,14.992788,3596634624.0,65.86,49.29,0.0452,506277.0,61.94616098954575,0.43786363636363634,0.9999395811045059,0.0,0.00103791781276162,0.030828252380626156,0.6194616098954575,0.2980627076224047
Alexander And Baldwin Inc,ALEX,Real Estate,16.92,16.81,16.8,0.714,1.282,23.830986,1228258304.0,19.99,15.53,0.052600004,291309.0,56.600327223596146,0.43993181818181815,0.9999430570869873,0.0,0.00035445108607354026,0.03589778995684045,0.5660032722359615,0.31000981567135716
Alamo Group,ALG,Industrials,166.5,167.37,165.72,0.471,1.036,14.813168,1993021696.0,231.4,157.74,0.0062,72727.0,16.962446534086993,0.4371704545454545,0.9999413296290267,0.0,0.0005751467279811205,0.004110433650750154,0.16962446534086995,0.2503859296900377
Alaska Air Group,ALK,Industrials,38.17,38.62,38.33,-0.417,1.604,20.195766,4843467264.0,57.18,30.75,,1822418.0,16.97899593195703,0.42707954545454546,0.9999453182311467,0.0,0.0013977291383488713,,0.1697899593195703,0.24816516477281608
Allstate Corporation,ALL,Financial Services,159.54,158.88,158.43,0.701,0.481,34.98684,42104999936.0,177.37,100.57,0.0231,1438162.0,27.971137921720455,0.43978409090909093,0.9999374323153355,0.0,0.01215067306522987,0.015688155100363088,0.27971137921720457,0.27626884457486667
Allison Transmission Holdings,ALSN,Consumer Cyclical,75.14,74.72,74.21,1.253,0.991,10.085906,6573111808.0,83.42,50.14,0.013300001,599145.0,49.03288099623043,0.4460568181818182,0.9999410136306194,0.0,0.001896870463500094,0.008974447489210112,0.4903288099623043,0.3169647599008637
Autoliv,ALV,Consumer Cyclical,107.98,110.06,106.71,1.19,1.616,16.924765,8647017472.0,129.38,89.25,0.0252,678790.0,16.452219182184166,0.44534090909090907,0.9999454024973888,0.0,0.002495358762704989,0.017126806878125643,0.16452219182184166,0.25338593173016144
Alexander's,ALX,Real Estate,224.74,224.9,222.57,0.975,0.785,10.74283,1147812352.0,237.18,162.5,0.0801,10250.0,59.254778367593005,0.4428977272727273,0.9999395670601322,0.0,0.00033123596986736815,0.054737274782489555,0.5925477836759301,0.3089117242031945
American Greetings Corp.,AM,Energy,14.62,14.79,14.76,-0.949,2.261,18.275,7035743232.0,15.1,11.5,0.0616,2414267.0,36.600757782504665,0.42103409090909094,0.9999499318078947,0.0,0.0020303767742811123,0.04206343769267658,0.36600757782504667,0.29497736123654694
Advanced Micro Devices,AMD,Technology,178.69,174.83,171.9,3.95,1.681,255.27144,288818429952.0,227.3,93.12,,51670375.0,65.50349171136546,0.4767045454545455,0.9999458589395328,0.0,0.08334730639545339,,0.6550349171136546,0.298838843141043
Amtek,AME,Industrials,164.5,166.55,165.65,-0.694,1.181,28.910368,38076813312.0,186.33,136.89,0.0068,1174663.0,28.1734706420919,0.42393181818181813,0.9999423478461174,0.0,0.010988217798663961,0.00452147701582517,0.281734706420919,0.27194559640987626
Affiliated Managers Group  ,AMG,Financial Services,154.85,156.27,154.78,0.045,1.224,8.5599785,4934218240.0,169.65,120.22,0.00029999999,306278.0,38.06926203835111,0.4323295454545455,0.9999426498001509,0.0,0.001423918081375657,6.850722066177982e-05,0.38069262038351115,0.2911497841671389
American Homes 4 Rent,AMH,Real Estate,37.4,37.48,37.45,-0.134,0.746,38.163265,15621943296.0,37.97,31.36,0.0278,1931398.0,57.29448924074126,0.43029545454545454,0.9999392931948459,0.0,0.004508184883944639,0.01890799479345071,0.5729448924074125,0.3041938278279357
Ameriprise Financial Services,AMP,Financial Services,427.06,432.89,432.15,-1.178,1.367,14.535739,42417688576.0,446.32,306.63,0.0139,471250.0,26.362984872440435,0.41843181818181824,0.9999436539728678,0.0,0.012240908843830016,0.009385490169212852,0.26362984872440437,0.2685975659930924
General Cable Corp.,BGC,Financial Services,8.6,8.75,8.71,-1.263,1.498,71.66667,4303869952.0,9.06,4.35,0.0093,3061139.0,54.47324457785191,0.41746590909090914,0.9999445738793427,0.0,0.0012420119892421254,0.006234157703637733,0.5447324457785191,0.30504997255965
Babson Capital Global Short Du,BGH,Financial Services,14.78,14.77,14.73,0.339,,6.236287,296550336.0,14.82,11.92,0.104899995,59834.0,82.79375215504426,0.43567045454545456,,0.0,8.557852990891778e-05,0.0717270637802288,0.8279375215504426,0.31411703448076633
Blackrock Energy And Resources Trust,BGR,Financial Services,13.17,13.12,13.16,0.076,1.031,19.086956,361714048.0,13.68,11.84,0.059899997,68375.0,41.87581889764749,0.43268181818181817,0.9999412945180925,0.0,0.00010438349285479149,0.04089881276974721,0.41875818897647493,0.3068499819739934
B&G Foods Holdings,BGS,Consumer Defensive,7.82,7.86,7.8,0.256,0.659,,618179648.0,15.15,7.2,0.097200006,1134127.0,48.73357249376323,0.43472727272727274,0.9999386822645916,,0.00017839441023302904,0.06645201479756115,0.48733572493763233,0.07599061007069374
Blackrock Global,BGT,Financial Services,13.06,12.95,12.95,0.849,0.667,7.4628572,293796448.0,13.97,11.23,0.1105,91265.0,54.601567568424755,0.44146590909090905,0.999938738442086,0.0,8.478381210958359e-05,0.07556347194629033,0.5460156756842476,0.32214405015304726
Blacstone Gso Long Short Credit Fund,BGX,Financial Services,12.64,12.63,12.6,0.317,,6.5833335,160632912.0,12.83,10.9,0.120900005,49286.0,64.45679117478929,0.4354204545454545,,0.0,4.6355440192687286e-05,0.08268822703295198,0.6445679117478929,0.3529417667828493
Blackrock International,BGY,Financial Services,5.6,5.61,5.65,-0.885,0.878,6.666667,561523200.0,5.7,4.68,0.072399996,193170.0,36.974072228670316,0.4217613636363637,0.9999402201235075,0.0,0.00016204447600453052,0.049462215523737744,0.3697407222867032,0.29712697454279247
Biglari Holdings Inc.,BH,Consumer Cyclical,184.91,183.5,183.35,0.851,1.372,19.755342,577584896.0,219.0,137.01,,2596.0,42.449173547458074,0.44148863636363633,0.999943689083802,0.0,0.00016667956490382292,,0.42449173547458074,0.30114394159757174
Benchmark Electronics,BHE,Technology,39.3,39.11,38.83,1.21,1.0,21.593405,1416599936.0,44.85,22.66,0.0168,407793.0,36.18259165611056,0.4455681818181818,0.9999410768303009,0.0,0.00040880276896915836,0.011372199767075427,0.3618259165611056,0.2915216231322303
Blackrock Core Trust,BHK,Financial Services,10.65,10.6,10.62,0.282,0.724,10.339806,575508928.0,11.0,9.02,0.0841,130159.0,64.0170861867563,0.4350227272727272,0.9999391387067353,0.0,0.00016608048145509583,0.05747756388298965,0.640170861867563,0.29873744367146643
Berkshire Hills Bancorp,BHLB,Financial Services,22.21,22.28,22.07,0.634,0.89,44.42,961535296.0,25.79,18.31,0.0324,229619.0,44.46476512050347,0.4390227272727273,0.9999403043897496,0.0,0.0002774800829138066,0.022059327259025825,0.44464765120503474,0.3092285223530376
Bhp Billiton Limited,BHP,Basic Materials,58.35,58.63,59.49,-1.916,0.871,20.051546,148689797120.0,69.11,54.28,0.0521,2300309.0,27.523845489979223,0.4100454545454546,0.9999401709681998,0.0,0.042908944810685135,0.03555525107898883,0.2752384548997922,0.277962436761823
Big Lots,BIG,Consumer Defensive,1.39,1.43,1.45,-4.138,2.264,,41257980.0,11.06,1.315,,1730708.0,16.429377079326173,0.38479545454545455,0.9999499528744552,,1.1906187625151024e-05,,0.16429377079326174,-0.009415732328212488
Bio-Rad Laboratories,BIO,Healthcare,274.94,279.45,276.94,-0.722,0.93,,7885829120.0,431.79,261.59,,253075.0,34.946336415773615,0.42361363636363636,0.9999405852772226,,0.002275694806879534,,0.34946336415773616,0.03366822923905838
Brookfield Infrastructure Partners Lp,BIP,Utilities,28.29,28.38,28.4,-0.387,1.032,91.258064,13055552512.0,36.58,21.03,0.0573,463098.0,32.5995510358227,0.4274204545454545,0.9999413015402795,0.0,0.003767575085691406,0.039117626909638964,0.325995510358227,0.2875183229899325
Blackrock Multi-Sector Income T,BIT,Financial Services,14.7,14.58,14.62,0.547,,24.499998,558986624.0,15.98,13.65,0.108100004,110986.0,63.19976553847413,0.4380340909090909,,0.0,0.00016131247016530834,0.07391930122627936,0.6319976553847413,0.3541055740516878
Bank Of New York Mellon Corp.,BK,Financial Services,59.54,60.04,59.88,-0.568,1.082,14.922306,44524965888.0,60.91,39.66,0.028199999,3413329.0,17.05308380188758,0.4253636363636364,0.999941652649621,0.0,0.012849027542912726,0.019182023018428446,0.1705308380188758,0.2530378551513355
Brookdale Senior Living Inc.,BKD,Healthcare,7.24,7.34,7.29,-0.686,1.31,,1397414016.0,7.62,3.44,,1759390.0,76.67273150085745,0.4240227272727273,0.9999432537082185,,0.0004032660906000302,,0.7667273150085745,0.010303947327432339
Buckle,BKE,Consumer Cyclical,36.34,36.63,36.26,0.221,1.085,8.591017,1845290752.0,48.15,30.31,0.0385,334665.0,33.48119341080411,0.43432954545454544,0.9999416737161815,0.0,0.0005325144892302196,0.026238268137288485,0.3348119341080411,0.28741855634455266
Black Hills Corp.,BKH,Utilities,53.42,53.87,53.72,-0.558,0.675,13.190123,3682416640.0,61.94,46.43,0.048699997,429949.0,35.25859247645322,0.4254772727272727,0.9999387946195807,0.0,0.0010626728118676,0.03322600328834692,0.35258592476453215,0.2910963643388954
Blackrock Investment Quality Municipal,BKN,Financial Services,11.93,11.93,11.92,0.084,0.562,56.80953,205265200.0,12.69,9.57,0.0573,36668.0,39.43737895112494,0.4327727272727273,0.9999380011124689,0.0,5.923543883410237e-05,0.039117626909638964,0.3943737895112494,0.30162631580772326
Blackrock Income Trust Inc.,BKT,Financial Services,11.95,11.99,11.95,0.0,0.431,17.31884,254627008.0,12.64,10.55,0.088599995,64016.0,68.01008884372985,0.4318181818181818,0.9999370812059941,0.0,7.348028373154056e-05,0.060560385695690895,0.6801008884372984,0.2908782666321795
Bankunited,BKU,Financial Services,28.79,29.04,28.65,0.489,1.34,12.409484,2152248320.0,34.22,20.84,0.0403,708524.0,42.95560661727523,0.43737499999999996,0.9999434643738234,0.0,0.0006210963934071258,0.027471398232513534,0.42955606617275227,0.30707950608301154
Blackrock,BLK,Financial Services,790.19,790.6,790.6,-0.052,1.331,20.081068,117422235648.0,845.0,596.18,0.025799999,587585.0,36.648467221115155,0.43122727272727274,0.9999434011741419,0.0,0.03388574283457935,0.017537849558128385,0.36648467221115155,0.29488282942899063
Blackrock Limited Duration Income Trust,BLW,Financial Services,14.0,14.15,14.15,-1.06,0.742,7.734807,500119200.0,14.26,12.35,0.096999995,86947.0,53.75491047334105,0.41977272727272724,0.9999392651060984,0.0,0.00014432449184020868,0.06631499280674111,0.5375491047334104,0.3187395926441494
Banco Latinoamericano De Comercio,BLX,Financial Services,30.21,29.93,29.69,1.751,1.175,6.127789,1103870336.0,31.62,20.02,0.066199996,119036.0,63.34634210323992,0.4517159090909091,0.9999423057129962,0.0,0.0003185551701203097,0.04521476741796259,0.6334634210323992,0.3001452805864614
Banco Macro S.A.,BMA,Financial Services,55.19,54.41,54.18,1.864,1.733,3.9003534,4958656000.0,68.24,17.3,0.083000004,414260.0,26.78770790877904,0.45299999999999996,0.9999462240932481,0.0,0.0014309703372581972,0.05672398712064122,0.2678770790877904,0.2830186878660873
Blackrock Health Sciences Trust,BME,Financial Services,40.76,40.7,40.72,0.098,0.669,28.305553,568357440.0,42.86,35.53,0.0627,33339.0,51.708950466602,0.4329318181818182,0.9999387524864597,0.0,0.0001640167029697962,0.042817017195314104,0.51708950466602,0.3201078016547826
Badger Meter,BMI,Technology,187.78,189.04,187.38,0.213,0.78,54.115273,5519548928.0,202.81,134.06,0.0058,188675.0,53.41418404366617,0.43423863636363635,0.999939531949198,0.0,0.00159283298141884,0.003836404740700144,0.5341418404366617,0.3092400384185753
Bank Of Montreal,BMO,Financial Services,84.25,83.95,83.72,0.633,1.177,13.811476,61439565824.0,100.12,73.98,0.0539,862283.0,34.571518334960714,0.43901136363636367,0.9999423197573699,0.0,0.017730247707914343,0.03678838117421388,0.34571518334960716,0.2941312102452732
Biomed Realty Trust,BMR,Technology,5.44,5.45,5.45,-0.183,,,84382016.0,34.94,0.91,,1452252.0,60.955935118103895,0.42973863636363635,,,2.435093446610023e-05,,0.609559351181039,0.09255136031178425
Bristol-Myers Squibb Company,BMY,Healthcare,39.99,39.64,39.66,0.832,0.439,,81063731200.0,65.38,39.35,0.06,15163698.0,50.289535253496574,0.44127272727272726,0.9999371373834888,,0.02339339505500497,0.04096732205247654,0.5028953525349658,0.07615092876156286
Bank Of Nova Scotia,BNS,Financial Services,45.22,45.25,45.21,0.022,0.971,10.277273,55631454208.0,51.98,39.8,0.0688,1738683.0,35.23631800795843,0.4320681818181818,0.9999408731868826,0.0,0.01605414116990161,0.04699595807357676,0.35236318007958434,0.2962933817016614
