Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score
American Greetings Corp.,AM,Energy,14.745,14.7,14.71,0.238,2.261,18.43125,7095898624.0,15.1,11.5,0.0612,2425126.0,61.66021360095882
Advanced Micro Devices,AMD,Technology,183.96,179.94,177.1,3.874,1.681,266.6087,297336406016.0,227.3,93.12,,51407929.0,79.64281487892754
Amtek,AME,Industrials,165.92,164.14,164.13,1.091,1.181,29.108772,38405500928.0,186.33,136.89,0.0068,1176577.0,54.0561199641685
Affiliated Managers Group  ,AMG,Financial Services,159.41,155.11,154.72,3.031,1.224,8.812051,5079520256.0,169.65,120.22,0.00029999999,308009.0,68.44817385429829
American Homes 4 Rent,AMH,Real Estate,37.3,37.32,37.23,0.188,0.746,38.061222,15580172288.0,37.97,31.36,0.0279,1918527.0,48.753173385488566
Ameriprise Financial Services,AMP,Financial Services,440.72,435.6,433.29,1.715,1.367,15.000681,43774468096.0,446.32,306.63,0.0137,470390.0,75.39997593486079
Ameresco Inc,AMRC,Industrials,27.17,26.06,25.8,5.31,1.777,24.926605,1422039808.0,63.19,17.55,,506350.0,47.94763839725987
American Tower Corp.,AMT,Real Estate,196.77,197.39,195.96,0.413,0.808,44.41761,91886673920.0,219.1,154.58,0.033099998,2405283.0,64.15993749234588
TD Ameritrade Holding Corp.,AMTD,Financial Services,1.6399,1.63,1.62,1.228,0.474,0.73869365,1758546816.0,4.86,1.565,,31936.0,34.03276368139214
American Movil S.A.B. De C.V.,AMX,Communication Services,18.3,18.06,18.01,1.61,0.275,17.428572,56379551744.0,22.26,16.0,0.028900001,1632786.0,61.606999931661186
Autonation,AN,Consumer Cyclical,160.72,156.8,156.14,2.933,1.211,7.5954633,6471631872.0,182.08,123.81,,432180.0,64.21279147688205
Abercrombie & Fitch Company,ANF,Consumer Cyclical,174.104,182.66,179.24,-2.865,1.554,21.627827,8897637376.0,196.99,33.38,,1506713.0,62.44005887998146
Alpine Total Dynamic Dividend,AOD,Financial Services,8.625,8.53,8.53,1.114,,13.690476,909342400.0,8.63,7.02,0.0809,248522.0,81.21898787499345
Aon Plc,AON,Financial Services,295.41,294.12,293.16,0.767,0.907,23.115025,64231292928.0,344.68,268.06,0.0092,1615170.0,59.20941593840208
Smith [A.O.] Corp.,AOS,Industrials,83.02,81.18,80.73,2.837,1.141,21.563637,12176542720.0,89.96,64.14,0.0159,896009.0,76.30076339011588
Ampco-Pittsburgh Corp.,AP,Industrials,1.24,1.07,0.7649,62.113,0.839,,24633468.0,4.0,0.74,,121939.0,66.72214940741767
Apache Corp.,APA,Energy,28.77,28.78,28.79,-0.069,3.27,3.2289562,10679193600.0,46.15,27.17,0.0347,5929154.0,33.413511340437424
Artisan Partners Asset Manageme,APAM,Financial Services,39.94,38.85,38.76,3.044,1.811,12.066465,2792069632.0,46.75,32.12,0.063,412808.0,26.846233892897573
Air Products And Chemicals,APD,Basic Materials,255.79,256.7,254.7,0.428,0.822,23.148415,56863649792.0,307.71,212.24,0.0278,1787009.0,45.86189390207991
Amphenol Corp.,APH,Technology,69.97,69.0,68.62,1.967,1.256,42.92638,84048666624.0,70.84,39.34,0.0128,7213627.0,82.97904188693522
Apollo Global Management LLc C,APO,Financial Services,119.21,117.24,116.68,2.168,1.587,13.394382,67830968320.0,120.8,77.11,0.0159,2432559.0,71.90101619595211
American Reprographics Company,ARC,Industrials,2.9474,2.98,2.96,-0.426,1.157,14.737,127266672.0,3.69,2.56,0.067600004,99636.0,71.94105504997702
Ares Dynamic Credit Allocation,ARDC,Financial Services,15.1605,15.17,15.3,-0.912,,6.1628046,347401344.0,15.4,11.83,0.1164,95736.0,67.50981339317457
Alexandria Real Estate Equities,ARE,Real Estate,116.95,116.49,116.04,0.784,1.162,109.29906,20452567040.0,135.45,90.73,0.0448,775531.0,77.53054779732788
Apollo Commercial Real Estate,ARI,Real Estate,10.085,9.95,9.95,1.357,1.805,,1433703808.0,12.74,9.22,0.1407,873404.0,78.73791064719886
American Realty Investors,ARL,Real Estate,14.91,13.88,14.05,6.121,0.649,82.83333,240826320.0,25.96,11.69,,5555.0,71.85717977276197
Armour Residential R,ARR,Real Estate,20.06,19.84,19.7,1.827,1.506,,1044734784.0,26.9,13.32,0.1462,941840.0,84.08385942748797
Arrow Electronics,ARW,Technology,120.475,118.11,117.29,2.715,1.266,9.43422,6412872192.0,147.42,108.51,,463554.0,47.56219198093481
Asa Gold And Precious Metals,ASA,Financial Services,19.2532,19.02,18.92,1.761,1.164,38.5064,371392320.0,19.5,12.8,0.0021,53614.0,76.63669786140434
Ardmore Shipping Corporation,ASC,Industrials,20.28,20.07,20.0,1.4,0.4,7.8301163,846268224.0,23.44,11.7,0.062,712570.0,42.66362957694944
Liberty All-Star Growth Fund,ASG,Financial Services,5.415,5.4,5.38,0.651,1.283,5.7,325742560.0,5.71,4.47,0.0892,192754.0,83.38569446167625
On Assignment,ASGN,Technology,86.29,86.04,85.83,0.536,1.399,19.974537,3960711168.0,106.42,75.85,,338045.0,33.50726202454669
Ashland Inc.,ASH,Basic Materials,93.3,92.81,92.16,1.237,0.9,25.773481,4676886528.0,102.5,70.82,0.0176,365480.0,24.549702792773374
Grupo Aeroporuario Del Sureste,ASR,Industrials,312.49,305.57,303.51,2.959,0.798,15.742568,9374699520.0,357.9,165.0,0.018,42319.0,45.58727747325992
Advanced Semiconductor Engineering,ASX,Technology,12.205,12.06,11.96,2.048,1.083,24.41,26360358912.0,12.24,7.2,0.026800001,5471239.0,80.7834414350421
Allagheny Technologies Inc.,ATI,Industrials,57.91,57.99,57.53,0.661,1.068,21.52788,7206378496.0,62.44,35.03,,1725393.0,59.71607916831538
Atmos Energy Llc,ATO,Utilities,117.03,115.27,114.77,1.969,0.665,17.651583,17657135104.0,125.28,101.0,0.028099999,1008096.0,63.365015029482606
Aptargroup,ATR,Healthcare,141.42,140.75,140.04,0.985,0.565,30.347641,9370997760.0,151.73,115.77,0.0117,287811.0,46.543497099723886
Anglogold Ashanti Ltd,AU,Basic Materials,28.71,28.6,28.36,1.234,,,12060782592.0,29.1,14.91,0.0134000005,2022724.0,90.4969612989322
Avista Corp.,AVA,Utilities,34.305,34.09,33.9,1.195,0.456,14.175619,2682266880.0,40.13,30.53,0.055999998,462165.0,40.51536612484055
Avalonbay Communities,AVB,Real Estate,203.69,205.0,203.82,-0.064,0.971,30.265974,28961865728.0,208.45,160.45,0.0334,667080.0,68.91749655959947
American Vanguard Corp.,AVD,Basic Materials,8.02,8.25,8.23,-2.552,0.908,32.08,224437312.0,18.26,7.945,0.0146,241050.0,54.198991393368864
Advent Claymore Convertible Securities,AVK,Financial Services,11.9586,12.0,11.98,-0.179,1.354,10.971192,413693408.0,12.22,9.24,0.1174,90691.0,54.60158547606639
Avnet,AVT,Technology,51.63,51.2,50.8,1.634,1.181,8.32742,4666329600.0,55.46,42.67,0.024400001,633826.0,54.67383311342074
Avery Dennison Corp.,AVY,Consumer Cyclical,216.496,214.53,213.0,1.641,0.89,31.651463,17439490048.0,231.53,165.21,0.0165,447763.0,57.646385243273805
Alliance World Dollar Fund II,AWF,Financial Services,10.595,10.64,10.62,-0.235,0.812,7.2568493,913603648.0,10.83,9.2,0.074,179201.0,64.69516845289408
Allied World Assurance Company,AWH,Healthcare,1.18,1.13,1.16,1.724,1.54,,14690409.0,6.75,0.86,,94408.0,29.037266381726724
Armstrong World Industries Inc,AWI,Industrials,113.82,112.56,112.37,1.29,1.138,21.394735,4980569600.0,125.56,68.35,0.01,268873.0,62.76841638445712
American Water Works,AWK,Utilities,132.24,131.24,130.72,1.163,0.667,26.769232,25763395584.0,151.22,113.34,0.0234,1242898.0,68.86552748815586
Alpine Global Premier Propertie,AWP,Financial Services,3.8,3.78,3.78,0.529,,,324550400.0,4.14,3.06,0.127,252849.0,62.6894566528238
American States Water Company,AWR,Utilities,73.705,73.31,72.88,1.132,0.452,24.165575,2743956224.0,89.93,66.03,0.023599999,231790.0,51.26788684054293
American Axle & Manufacturing,AXL,Consumer Cyclical,6.81,6.79,6.77,0.591,2.045,,800535936.0,9.55,6.29,,1251636.0,61.37406528681846
American Express Company,AXP,Financial Services,238.94,236.57,237.75,0.501,1.213,19.665844,171870257152.0,244.41,140.91,0.0117999995,2966386.0,70.08261496340681
Amrep Corp.,AXR,Real Estate,20.55,19.445,19.3217,6.357,0.917,48.92857,108325416.0,24.36,15.38,,13370.0,69.52936636146262
Axis Capital Holdings,AXS,Financial Services,70.14,69.77,69.48,0.95,0.904,10.724771,5938052096.0,74.05,52.02,0.0253,585986.0,35.39484825954
Acuity Brands Inc,AYI,Industrials,238.751,237.09,236.34,1.02,1.416,19.426445,7345270272.0,272.74,156.5,0.0025,261832.0,64.38373387701137
Astrazeneca Plc,AZN,Healthcare,77.75,76.95,76.67,1.409,0.15,38.4901,242475827200.0,80.86,60.47,0.0189,4657600.0,63.835416562381894
Autozone,AZO,Consumer Cyclical,2859.42,2829.44,2817.06,1.504,0.712,19.825418,48846897152.0,3256.37,2375.35,,146636.0,52.02452150427759
Azz Inc.,AZZ,Industrials,76.47,75.42,74.82,2.205,1.25,22.101156,2276840704.0,86.94,42.55,0.0091,354559.0,61.728944141378655
Boise Cascade L.L.C. Common ST,BCC,Basic Materials,115.6,115.5,114.59,0.881,1.483,9.398374,4563807232.0,154.673,87.32,0.0069999998,336375.0,67.93838046137978
Bce,BCE,Communication Services,31.77,31.69,31.54,0.729,0.469,22.37324,28995430400.0,45.19,31.13,0.092,2061293.0,47.90968004275734
Banco De Chile,BCH,Financial Services,23.98,23.45,23.5,2.043,0.178,8.04698,12111937536.0,24.79,19.2,0.0696,233691.0,62.45517255669178
Brink's Company,BCO,Industrials,101.83,101.74,101.22,0.603,1.454,38.866413,4527565312.0,105.5,64.15,0.0095999995,257988.0,41.6063621441644
Barclays Plc,BCS,Financial Services,11.4,11.27,11.17,2.059,1.388,8.571428,42934108160.0,11.57,6.23,0.031,13212960.0,68.76350050890794
Blackrock Resources Common Shar,BCX,Financial Services,9.358,9.32,9.32,0.408,,,789471680.0,9.87,8.25,0.07,197357.0,51.05191418779066
Belden Inc,BDC,Technology,92.38,91.26,90.33,2.269,1.058,18.078278,3757851904.0,99.13,60.55,0.0022,250836.0,71.93168549161351
Blackrock Enhanced Dividend Achievers,BDJ,Financial Services,8.29,8.27,8.23,0.729,1.02,10.234568,1543059200.0,8.43,6.91,0.08189999,392642.0,78.55498171396285
Brandywine Realty Trust,BDN,Real Estate,4.305,4.35,4.31,-0.116,1.304,,743843712.0,5.67,3.62,0.1392,1342706.0,63.544537282875304
Becton Dickinson And Company,BDX,Healthcare,223.87,221.41,221.47,1.084,0.444,47.9379,64699777024.0,287.32,218.75,0.0172,1416313.0,27.480054804156012
Beam Inc,BEAM,Healthcare,23.96,23.92,23.84,0.503,1.871,,1972173952.0,49.5,16.95,,1359681.0,70.06788467573048
Franklin Resources,BEN,Financial Services,22.445,22.13,22.06,1.745,1.448,12.973989,11808112640.0,30.32,21.57,0.056199998,4042026.0,58.51943256330469
Brookfield Renewable,BEP,Utilities,26.3,25.48,25.48,3.218,0.892,,17357158400.0,30.32,19.92,0.0557,542145.0,43.460783941044006
Berry Plastics Group Inc.,BERY,Consumer Cyclical,59.15,58.38,58.14,1.737,1.161,14.218751,6766759936.0,69.94,53.92,0.0189,1032242.0,65.059221429157
Bright Horizons Family Solutions Inc.,BFAM,Consumer Cyclical,109.12,108.1,107.74,1.281,1.451,76.30769,6329418240.0,119.21,71.65,,319977.0,67.90026386618257
Blackrock Florida Muni 2020 Trust,BFK,Financial Services,10.145,10.13,10.13,0.148,0.639,67.63333,444906976.0,10.48,8.55,0.0592,85085.0,65.4725960444681
Saul Centers,BFS,Real Estate,37.208,36.85,36.62,1.606,1.098,21.507515,1248778624.0,41.04,33.56,0.0644,53239.0,70.11584612478367
Blackrock California Muni Trust,BFZ,Financial Services,12.055,12.13,12.06,-0.041,0.51,40.183334,362416704.0,12.31,9.86,0.0587,64672.0,39.46944124452777
Bunge Limited,BG,Consumer Defensive,111.23,110.46,109.95,1.164,0.657,8.970161,15749613568.0,116.59,86.1,0.0247,1406332.0,58.67049123754551
Blackstone / Gso Strategic Cre,BGB,Financial Services,12.165,12.17,12.13,0.289,,6.7209945,543342400.0,12.22,10.47,0.1148,154998.0,72.3347154671141
General Cable Corp.,BGC,Financial Services,8.95,8.73,8.71,2.755,1.498,74.583336,4479027200.0,9.06,4.54,0.0092,3029386.0,82.03748380981456
Babson Capital Global Short Du,BGH,Financial Services,15.01,14.99,14.85,1.077,,6.333334,301165152.0,15.025,11.92,0.104899995,60073.0,88.06825978657508
Blackrock Energy And Resources Trust,BGR,Financial Services,13.15,13.1,13.09,0.458,1.031,19.05797,361164736.0,13.68,11.84,0.0602,68601.0,54.169984048414925
B&G Foods Holdings,BGS,Consumer Defensive,7.73,7.74,7.68,0.651,0.659,,611065024.0,15.15,7.2,0.099,1137962.0,19.560993495434886
Blackrock Global,BGT,Financial Services,12.89,12.92,12.9,-0.078,0.667,7.3657146,289972160.0,13.97,11.23,0.111899994,92331.0,60.17545937772026
Blacstone Gso Long Short Credit Fund,BGX,Financial Services,12.685,12.71,12.74,-0.432,,6.606771,161204784.0,12.83,10.9,0.120900005,49409.0,52.89217159917202
Blackrock International,BGY,Financial Services,5.638,5.61,5.59,0.859,0.878,6.711905,565333568.0,5.7,4.68,0.0726,191344.0,80.29220069003917
Biglari Holdings Inc.,BH,Consumer Cyclical,184.375,188.64,186.4,-1.086,1.372,19.698185,567198336.0,219.0,137.01,,2586.0,62.81546789251644
Benchmark Electronics,BHE,Technology,39.4,38.91,38.68,1.861,1.0,21.648352,1420204544.0,44.85,22.66,0.0171,410480.0,64.37956396231777
Blackrock Core Trust,BHK,Financial Services,10.79,10.7,10.69,0.935,0.724,10.475728,583074304.0,11.0,9.02,0.0837,129000.0,74.72979471901249
Berkshire Hills Bancorp,BHLB,Financial Services,22.97,22.39,22.33,2.866,0.89,45.94,994437888.0,25.79,18.31,0.0322,228106.0,82.05997282761956
Bhp Billiton Limited,BHP,Basic Materials,58.54,58.03,58.36,0.308,0.871,20.116838,150029238272.0,69.11,54.28,0.0521,2271786.0,71.95309193274929
Big Lots,BIG,Consumer Defensive,1.0299,1.19,1.2,-14.175,2.264,,30569490.0,11.06,1.01,,1750740.0,36.618939854566825
Bio-Rad Laboratories,BIO,Healthcare,280.42,274.68,274.88,2.015,0.93,,8043343360.0,431.79,261.59,,255711.0,59.81057256431857
Brookfield Infrastructure Partners Lp,BIP,Utilities,29.32,28.01,27.87,5.203,1.032,94.58064,13541910528.0,36.58,21.03,0.0581,456834.0,71.26952459162895
Blackrock Multi-Sector Income T,BIT,Financial Services,14.66,14.66,14.65,0.068,,24.433332,557465536.0,15.98,13.65,0.108100004,111654.0,61.10626152361764
Bank Of New York Mellon Corp.,BK,Financial Services,60.7,60.2,60.21,0.814,1.082,15.213033,45392433152.0,60.91,39.66,0.0279,3420522.0,59.30797940901612
Brookdale Senior Living Inc.,BKD,Healthcare,7.015,7.16,7.15,-1.888,1.31,,1353986176.0,7.62,3.44,,1747622.0,54.953036424874185
Buckle,BKE,Consumer Cyclical,36.72,36.21,35.9,2.284,1.085,8.680851,1864586624.0,48.15,30.31,0.039,335042.0,71.06454900001106
Black Hills Corp.,BKH,Utilities,54.19,54.03,53.74,0.837,0.675,13.380246,3735495168.0,61.94,46.43,0.0484,425868.0,48.50558909473607
Blackrock Investment Quality Municipal,BKN,Financial Services,11.9701,11.96,11.93,0.336,0.562,57.00048,205955152.0,12.69,9.57,0.0573,36760.0,76.37223003691639
Blackrock Income Trust Inc.,BKT,Financial Services,11.98,12.0,11.97,0.084,0.431,17.362318,255266240.0,12.64,10.55,0.0884,63922.0,79.7156876384852
Bankunited,BKU,Financial Services,30.13,29.73,29.6,1.791,1.34,12.987069,2252422400.0,34.22,20.84,0.0392,702860.0,82.28812979211418
Blackrock,BLK,Financial Services,812.25,801.76,802.28,1.243,1.331,20.66268,120700346368.0,845.0,596.18,0.0254,587177.0,86.88747217807129
Blackrock Limited Duration Income Trust,BLW,Financial Services,14.185,14.13,14.09,0.674,0.742,7.837017,506727936.0,14.26,12.35,0.0964,87116.0,72.88499301861944
Banco Latinoamericano De Comercio,BLX,Financial Services,30.585,30.36,30.24,1.141,1.175,6.203854,1117572864.0,31.62,20.02,0.0661,118913.0,67.8902873118625
Banco Macro S.A.,BMA,Financial Services,56.105,55.49,55.49,1.108,1.733,3.9734418,4994898944.0,68.24,17.3,0.082600005,410260.0,67.32666864632338
Blackrock Health Sciences Trust,BME,Financial Services,41.08,40.9,40.72,0.884,0.669,28.527779,572819520.0,42.86,35.53,0.062800005,33439.0,63.01265372825944
Badger Meter,BMI,Technology,188.57,186.35,185.46,1.677,0.78,54.34294,5542770176.0,202.81,134.06,0.0058,187881.0,71.39607914970466
Bank Of Montreal,BMO,Financial Services,85.27,84.85,84.6,0.792,1.177,13.933006,62183399424.0,100.12,73.98,0.0537,865008.0,75.00913539217383
Biomed Realty Trust,BMR,Technology,5.24,5.3,5.29,-0.945,,,81279736.0,34.94,0.91,,1354583.0,80.53617253290523
Bristol-Myers Squibb Company,BMY,Healthcare,41.115,40.87,40.86,0.624,0.439,,83344220160.0,65.38,39.35,0.0587,15243655.0,31.19474062596413
Bank Of Nova Scotia,BNS,Financial Services,46.325,45.78,45.71,1.345,0.971,10.504536,56963072000.0,51.98,39.8,0.068,1723083.0,77.23127003414757
