Company,Ticker,Sector,Date,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score,MACD,MACD Signal,MACD Hist,Price Change (%)_normalized,Beta_normalized,P/E Ratio_normalized,Market Cap_normalized,Dividend Yield_normalized,RSI Score_normalized,score
Aecom Technology Corp.,ACM,Industrials,2024-07-08,83.41999816894531,84.4000015258789,84.44000244140625,-1.208,1.17,95.885056,11355714560.0,98.72,74.4,0.0105,776672,39.602054423821514,-0.29794400897509377,0.30637318324561447,-0.6043171922207082,0.21648032397218062,0.4816606207174526,0.7754919654859581,0.03847942003871297,0.046301521947966016,0.31935633930804175,0.28560071230084594
Accenture Plc.,ACN,Technology,2024-07-08,299.4700012207031,300.4599914550781,299.1400146484375,0.11,1.227,27.398901,187583217664.0,387.51,278.69,0.0172,3540013,67.82938060732164,3.103261169424968,3.2243841379889475,-0.12112296856397942,0.3325116647592217,0.5046352277307538,0.1965744706195852,0.6378717169928552,0.08413325329569434,0.753812803602418,0.40750222323894353
Avenue Income Credit Strategies,ACP,Financial Services,2024-07-08,6.690000057220459,6.679999828338623,6.679999828338623,0.15,1.003,6.4326925,348615904.0,7.17,5.55,0.17940001,362865,46.8860986145436,-0.033097100921043676,-0.022737408949231652,-0.010359691971812024,0.3360331015054142,0.41434905280128975,0.01934587745844113,0.0010416192981148296,1.0,0.4314675631729124,0.6185829993847526
Ares Commercial Real Estate Cor,ACRE,Real Estate,2024-07-08,6.760000228881836,6.699999809265137,6.650000095367432,1.654,1.497,,368465984.0,11.24,6.36,0.1479,571803,32.714641675467334,-0.0964040109412565,-0.05873662051841127,-0.03766739042284523,0.46843912316225017,0.6134623135832326,,0.0011091342139841302,0.822134340929738,0.21334980608793588,0.47690187638053216
Actavis Inc.,ACT,Financial Services,2024-07-08,30.190000534057617,30.579999923706055,30.469999313354492,-0.919,0.549,7.4727726,4748645376.0,31.85,25.97,0.024500001,189170,28.22918448292951,0.1957496568827466,0.19992414968766126,-0.004174492804914665,0.24192270446342107,0.23135832325675135,0.028137735695370425,0.016007182138391713,0.1253529065300448,0.14431259512628034,0.4637016065738774
Active Network Inc,ACTV,,2024-07-08,31.906999588012695,31.989999771118164,31.891000747680664,0.05,,17.118198,,35.205,27.29,,6483,25.510619399909913,-0.13806482146991428,-0.1541074041243931,0.016042582654478832,0.3272295096399331,,0.10967108370546796,,,0.10247022698114458,0.4230176397906641
Agree Realty Corp.,ADC,Real Estate,2024-07-08,61.970001220703125,62.5,62.439998626708984,-0.753,0.591,36.66864,6257358848.0,69.26,52.69,0.0484,775270,64.25006082304192,0.4536256166200374,0.38862940685489383,0.06499620976514359,0.25653666696011973,0.2482869810560258,0.27493211940195766,0.021138681010585705,0.2603048977806382,0.6987222644579041,0.3355800023828404
Archer-Daniels-Midland Company,ADM,Consumer Defensive,2024-07-08,63.380001068115234,61.36000061035156,61.36000061035156,3.292,0.73,11.061082,31337482240.0,87.3,50.72,0.031600002,4080860,51.76169650519216,0.1471005314039644,-0.11274247029138021,0.2598430016953446,0.6126419579188308,0.3043127771060057,0.05846992602863498,0.10644223751023504,0.16544325435103024,0.5065095635069886,0.4836966460084716
Adt Corporation Common Stock W,ADT,Industrials,2024-07-08,7.360000133514404,7.369999885559082,7.360000133514404,0.0,1.588,43.294117,6700353024.0,7.84,5.53,0.0299,5289860,36.02093423205111,-0.0006887029133917366,0.0176376006877172,-0.018326303601108936,0.32282771370719254,0.6501410721483273,0.3309376660286411,0.022645411186143192,0.1558441470443734,0.26423808947397803,0.44397786938323636
Adams Express Company,ADX,Financial Services,2024-07-08,22.0,22.049999237060547,22.010000228881836,-0.045,0.947,4.8140044,2729144064.0,22.08,15.81,0.0091,160947,83.82455357868605,0.25031735372915165,0.20029302423956996,0.05002432948958169,0.31886609736772603,0.39177750906892383,0.005663011778187816,0.009138370467223522,0.03839638405441084,1.0,0.3104114818824046
Ameren Corp.,AEE,Utilities,2024-07-08,70.70999908447266,70.45999908447266,70.44999694824219,0.369,0.451,16.21789,18856235008.0,88.72,67.03,0.0379,1653606,47.20363136218776,-0.12971726868968858,-0.16478066729298987,0.03506339860330129,0.3553129676908178,0.19185812172511085,0.1020607272477554,0.06399050145615255,0.20101636357897443,0.4363548186622332,0.4291676193900871
Aegon Nv,AEF,Financial Services,2024-07-08,5.369999885559082,5.369999885559082,5.360000133514404,0.187,0.989,9.421053,272537152.0,5.52,4.4,0.074499995,72604,61.5683421767136,0.02646202562829547,0.015254548313201955,0.011207477315093516,0.33929043049564217,0.40870616686819833,0.04460666446594099,0.0007828570895634591,0.40767922599213857,0.6574470124647791,0.44993209830718833
Aegon Nv,AEG,Financial Services,2024-07-08,6.179999828338623,6.260000228881836,6.230000019073486,-0.803,1.152,,11041063936.0,6.96,4.63,0.0558,2555601,31.340890542830763,-0.018395477573656116,-0.016732835022726895,-0.0016626425509292213,0.25213487102737914,0.4744054816606207,,0.03740921727844283,0.3020891980751441,0.19220593096403024,0.3235850975216049
Agnico-Eagle Mines Limited,AEM,Basic Materials,2024-07-08,69.93000030517578,69.27999877929688,69.80000305175781,0.186,1.052,88.51898,34838634496.0,71.5,43.22,0.0229,2611611,59.44454695344326,0.8431492294388221,0.3223507067998956,0.5207985226389265,0.33920239457698736,0.43409915356711004,0.713226091968671,0.11835050186027556,0.11631845757659753,0.6247589513431179,0.2787521273110978
American Eagle Outfitters,AEO,Consumer Cyclical,2024-07-08,19.81999969482422,19.389999389648438,19.209999084472656,3.175,1.486,17.855856,3893242624.0,26.44,12.04,0.0252,4721959,45.96701795274959,-0.33042536826568636,-0.22909063129543994,-0.10133473697024642,0.6023417554362179,0.6090286174929463,0.11590655015015505,0.013097750799291406,0.1293054698302953,0.41732167729875674,0.5018964363927441
American Electric Power Company,AEP,Utilities,2024-07-08,87.11000061035156,87.9000015258789,87.86000061035156,-0.854,0.524,16.221601,45917597696.0,93.44,69.38,0.0404,2744818,38.363462083806404,-0.2379244276279877,-0.23169295164843387,-0.006231475979553841,0.24764503917598377,0.22128174123337366,0.10209209654894406,0.1560327312702869,0.21513268124603716,0.3002927395449296,0.4498100241159956
Aercap Holdings N.V.,AER,Industrials,2024-07-08,93.19000244140625,93.91000366210938,93.56999969482422,-0.406,1.83,6.2085276,18483585024.0,96.95,57.3,0.0107,1518644,31.00895695529067,0.4759994592148331,0.43019847544245815,0.04580098377237496,0.2870851307333392,0.7476823861346231,0.01745099837894001,0.06272302886569166,0.04743082736133103,0.18709702720581622,0.5070341280020143
The Aes Corp.,AES,Utilities,2024-07-08,17.850000381469727,17.739999771118164,17.709999084472656,0.791,1.079,24.452055,12685406208.0,22.6,11.43,0.0379,7906481,18.852966081776273,-0.6322775945799215,-0.5423071619063723,-0.0899704326735492,0.3924641253631482,0.4449818621523579,0.17166460812143516,0.043002022453757734,0.20101636357897443,0.0,0.5331615646247491
Alliance National Municipal,AFB,Financial Services,2024-07-08,11.15999984741211,11.140000343322754,11.15999984741211,0.0,0.537,58.736843,320793088.0,11.18,8.95,0.035099998,66921,79.89941750329879,0.058282097645088626,0.05068411054967781,0.007597987095410819,0.32282771370719254,0.22652156388553008,0.4614759368634953,0.0009469871816958009,0.18520607649880988,0.9395868836424237,0.2441410490467393
American Financial Group  ,AFG,Financial Services,2024-07-08,120.9000015258789,120.55999755859375,119.6500015258789,1.045,0.772,11.569378,10139520000.0,137.72,105.22,0.0235,267295,19.743568082761172,-1.4926900184194238,-0.9707561053493422,-0.5219339130700816,0.4148252487014702,0.3212414349052802,0.06276658200195685,0.03434284862947426,0.11970637381669261,0.013707561032386012,0.5271699242502395
Aflac Incorporated,AFL,Financial Services,2024-07-08,88.5199966430664,89.22000122070312,89.05000305175781,-0.595,0.947,9.7381735,50299011072.0,91.15,69.0,0.0226,2236932,27.535626780134933,0.17402168440845855,0.22934001093599946,-0.0553183265275409,0.2704463421075799,0.39177750906892383,0.04728730269757732,0.1709349762722853,0.11462449945655,0.13363781050865706,0.49710039420570007
Apollo Senior Floating Rate Fund Inc.,AFT,Financial Services,2024-07-08,14.930000305175781,14.770000457763672,14.770000457763672,1.083,0.483,6.463204,232513856.0,15.14,12.54,0.1165,98245,47.15262580776721,-0.026542251514886317,-0.05441370776950568,0.027871456254619363,0.418170613610353,0.20475614671503428,0.019603792961868288,0.0006467281942515954,0.6448333910314291,0.4355697746701501,0.5421063748928814
First Majestic Silver,AG,Basic Materials,2024-07-08,6.539999961853027,6.309999942779541,6.400000095367432,2.187,1.349,,1903617408.0,8.44,4.17,0.0023,7483963,59.30002645870577,-0.02248696907337777,-0.07429271228536703,0.05180574321198926,0.5153622678052645,0.5538089480048367,,0.006330554945688844,0.0,0.6225345868123242,0.23457948649364063
Agco Corp.,AGCO,Industrials,2024-07-08,94.56999969482422,95.12999725341797,94.30999755859375,0.276,1.271,6.3985114,7056766464.0,140.46,94.1,0.0123000005,802281,32.843005271348616,-1.7819136192720606,-1.0846302824713572,-0.6972833368007034,0.3471256272559204,0.5223700120918984,0.01905694261045942,0.023857659369338827,0.05646527349151476,0.21532549424373765,0.48846445992477133
Alpine Global Dynamic Dividend Fund,AGD,Financial Services,2024-07-08,9.800000190734863,9.710000038146973,9.100000381469727,7.692,1.018,15.555556,243677984.0,9.89,8.2,0.0796,55377,52.302424006768476,-0.018533593018140948,-0.0038575695342890647,-0.014676023483851884,1.0,0.4203950020153164,0.09646197900375156,0.0006847000897136845,0.4364765422655821,0.514832086049662,0.6071444656529367
Alamos Gold Inc.,AGI,Basic Materials,2024-07-08,16.739999771118164,16.479999542236328,16.56999969482422,1.026,1.078,32.19231,6660929536.0,17.29,10.78,0.006,2223422,48.97367391931183,0.06617188672621666,-0.056811585935202594,0.12298347266141925,0.41315256624702873,0.4445787988714228,0.23709343872561955,0.02251132238269281,0.020892150147252958,0.46359815109901964,0.39337963743934
Federal Agricultural Mortgage Corp.,AGM,Financial Services,2024-07-08,181.27000427246094,183.0,181.5399932861328,-0.149,1.05,11.053049,1909190016.0,199.4,140.44,0.0309,48226,54.63198078534505,2.5879025479407574,2.0299122217072303,0.5579903262335271,0.3097103618276257,0.4332930270052398,0.05840202260733381,0.006349508731280267,0.16149067411119852,0.5506870938819299,0.41638663746356414
Federal Agricultural Mortgage  ,AGM-A,Financial Services,2024-07-08,140.0,132.0,130.0,7.692,1.05,8.541794,1909180032.0,160.48,112.39,0.04,993,62.570322759198895,-3.203899578757955,-4.392589790889094,1.1886902121311387,1.0,0.4332930270052398,0.03717423644280679,0.006349474773285133,0.21287407041930714,0.6728688394677433,0.5445304490796039
Assured Guaranty Ltd,AGO,Financial Services,2024-07-08,76.69999694824219,76.62000274658203,76.13999938964844,0.735,1.109,5.968871,4175770368.0,96.6,55.24,0.0162,448970,31.300426267512165,0.3938350344347441,0.44046255992122035,-0.04662752548647625,0.38753411391847875,0.4570737605804111,0.015425167048502605,0.01405869588701414,0.07848672622886921,0.1915831314161429,0.4989157539832831
Adecoagro S.A.,AGRO,Consumer Defensive,2024-07-08,9.779999732971191,9.800000190734863,9.8100004196167,-0.306,1.098,4.144068,1018440256.0,12.51,8.96,0.0341,649383,50.356515094843196,0.17607600907534682,0.12338005223290345,0.05269595684244337,0.2958887225988203,0.45264006449012495,0.0,0.003319853681678464,0.1795595607250389,0.48488193419262404,0.4437092616434274
Armada Hoffler Properties Inc.,AHH,Real Estate,2024-07-08,11.020000457763672,11.020000457763672,10.9399995803833,0.731,1.056,122.44444,978386496.0,13.11,9.81,0.0744,421211,45.20531005777394,0.004296922862979002,0.007336588413128867,-0.0030396655501498645,0.3871819702438595,0.43571140669085046,1.0,0.003183621170945552,0.40711460151809137,0.40559796968561157,0.3216292232014475
Aspen Insurance Holdings Limite,AHL-PC,Financial Services,2024-07-08,26.389999389648438,26.43000030517578,26.420000076293945,-0.114,,,1575422208.0,26.58,24.65,0.0916,19673,67.38623049898864,0.11292800955842353,0.05557582352693867,0.057352186031484856,0.3127916189805441,,,0.005214283811431032,0.5042348670674835,0.7469921282055905,0.21452829994963055
Ashford Hospitality Trust Inc,AHT,Real Estate,2024-07-08,1.0099999904632568,1.0299999713897705,1.0,1.0,2.325,,46847232.0,4.27,0.77,,387950,45.676335164518306,-0.028765970483653813,-0.042500874872393485,0.013734904388739672,0.4108636323620037,0.9471987101975011,,1.523116758484765e-05,,0.4128476787490813,0.2943245848590931
Ashford Hospitality Trust Inc 8,AHT-PD,Real Estate,2024-07-08,16.389999389648438,16.200000762939453,16.71500015258789,-1.944,2.325,,242088480.0,17.75,8.23,0.1289,2336,70.53371456822754,0.31672153746028187,0.24172598100363868,0.07499555645664319,0.15168588784223963,0.9471987101975011,,0.0006792938027448704,0.7148503266600605,0.7954361356632903,0.30900781616782663
Arlington Asset Investment Corp,AI,Technology,2024-07-08,29.899999618530273,29.920000076293945,29.940000534057617,-0.134,1.817,,3732058112.0,44.9,20.23,,5539595,52.156328985801466,-0.46340350658244844,-0.6830989874314342,0.2196954808489857,0.3110309006074478,0.7424425634824667,,0.012549523347960514,,0.5125834874453267,0.235188691315467
Apollo Investment Corporation,AIB,Financial Services,2024-07-08,11.5600004196167,11.5600004196167,12.0,-3.667,-0.025,,42369112.0,12.25,10.62,,231,47.15621090256496,0.007112761929404243,-0.006909492009265817,0.01402225393867006,0.0,0.0,,0.0,,0.4356249540945088,0.11287500918109826
Apollo Tactical Income Fund Inc,AIF,Financial Services,2024-07-08,15.050000190734863,14.979999542236328,14.90999984741211,0.939,0.603,6.270833,217738880.0,15.45,12.49,0.1162,89291,72.38365717441323,0.004634035230301592,-0.026630102734918493,0.03126413796522008,0.40549344132406023,0.2531237404272471,0.01797766958839318,0.0005964749327226275,0.6431394329113815,0.8239092371751424,0.4667212150303782
American International Group,AIG,Financial Services,2024-07-08,74.80999755859375,74.04000091552734,73.87999725341797,1.259,1.089,11.182362,49649000448.0,80.83,57.02,0.0214,4334086,24.96229715778034,-0.2439966903492916,-0.2795564168756405,0.03555972652634887,0.4336649352935998,0.449012494961709,0.05949511299930654,0.16872413316265997,0.10784866697635985,0.09403081118026621,0.5393711984305143
Albany International Corp.,AIN,Consumer Cyclical,2024-07-08,82.55000305175781,83.26000213623047,82.44000244140625,0.133,1.27,23.188204,2578564864.0,99.41,78.2,0.0126,163257,41.0734617233452,-0.2905764726899207,-0.025033103947668514,-0.2655433687422522,0.3345364908882824,0.5219669488109633,0.16098120131017,0.008626214243184799,0.05815922878829877,0.34200327400997843,0.4310015651767014
Aar ,AIR,Industrials,2024-07-08,72.3499984741211,71.58000183105469,71.13999938964844,1.701,1.546,42.81065,2563150592.0,73.95,55.0,,265477,47.779456747340014,1.405836604610485,1.312177510808805,0.09365909380168014,0.47257681133902635,0.6332124143490528,0.32685089105214316,0.008573786581570009,,0.44521754477585396,0.4042802951952682
Applied Industrial Technologies,AIT,Industrials,2024-07-08,188.67999267578125,190.36000061035156,189.44000244140625,-0.401,1.057,19.79853,7283538432.0,201.76,138.38,0.0078,261244,44.936263363304924,0.8033410637076202,0.9078865263727826,-0.1045454626651624,0.28752531032661327,0.43611446997178555,0.1323280876918967,0.02462896559787976,0.031055898867538175,0.4014569796800677,0.403033571921404
Apartment Investment And Management,AIV,Real Estate,2024-07-08,8.199999809265137,8.239999771118164,8.220000267028809,-0.243,1.508,,1187581440.0,8.93,5.63,,991257,28.138765785506422,0.035023131793192164,0.009039183072781933,0.02598394872041023,0.30143498547407344,0.6178960096735188,,0.0038951436960156303,,0.1429209299245121,0.2938819264468657
