Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score
Air Lease Corporation Class A C,AL,Industrials,47.65,47.6,47.64,0.021,1.604,9.626264,5306637824.0,52.31,33.33,0.0176,800337.0,38.43544279553169
Albemarle Corp.,ALB,Basic Materials,90.47,96.85,99.15,-8.754,1.575,32.778988,10632668160.0,247.44,90.32,0.0161,2719593.0,30.348984653630893
Allete,ALE,Utilities,62.66,62.19,62.37,0.465,0.787,15.062501,3613357824.0,65.86,49.29,0.0452,506277.0,65.85574623993682
Alexander And Baldwin Inc,ALEX,Real Estate,16.89,16.9,16.92,-0.177,1.282,23.788733,1226080512.0,19.99,15.53,0.052600004,291309.0,55.23675159794555
Alamo Group,ALG,Industrials,164.5,166.92,166.5,-1.201,1.036,14.635232,1969081472.0,231.4,157.74,0.0062,72727.0,15.939176755133857
Alaska Air Group,ALK,Industrials,37.39,37.93,38.17,-2.043,1.604,19.783068,4744492032.0,57.18,30.75,,1822418.0,15.669298404475725
Allstate Corporation,ALL,Financial Services,158.72,159.18,159.54,-0.514,0.481,34.80702,41888591872.0,177.37,100.57,0.0231,1438162.0,26.89318273130614
Allison Transmission Holdings,ALSN,Consumer Cyclical,74.3,75.12,75.14,-1.118,0.991,9.973155,6499630592.0,83.42,50.14,0.013300001,599145.0,44.85655347610767
Autoliv,ALV,Consumer Cyclical,106.4,107.61,107.98,-1.463,1.616,16.677116,8520491008.0,129.38,89.25,0.0252,678790.0,15.718802167903036
Alexander's,ALX,Real Estate,222.76,221.38,224.74,-0.881,0.785,10.648183,1137699840.0,237.18,162.5,0.0801,10250.0,55.73298509497514
American Greetings Corp.,AM,Energy,14.71,14.57,14.62,0.616,2.261,18.387499,7079054848.0,15.1,11.5,0.0616,2414267.0,41.57841599683083
Advanced Micro Devices,AMD,Technology,177.1,177.96,178.69,-0.89,1.681,253.00002,286248501248.0,227.3,93.12,,51670375.0,62.814718451464366
Amtek,AME,Industrials,164.13,165.01,164.5,-0.225,1.181,28.845343,37991174144.0,186.33,136.89,0.0068,1174663.0,27.447788260193903
Affiliated Managers Group  ,AMG,Financial Services,154.72,153.38,154.85,-0.084,1.224,8.552792,4930075648.0,169.65,120.22,0.00029999999,306278.0,37.8312582082367
American Homes 4 Rent,AMH,Real Estate,37.23,37.4,37.4,-0.455,0.746,37.989796,15550934016.0,37.97,31.36,0.0278,1931398.0,54.05180116677061
Ameriprise Financial Services,AMP,Financial Services,433.29,425.91,427.06,1.459,1.367,14.747788,43036483584.0,446.32,306.63,0.0139,471250.0,33.8122605558477
Ameresco Inc,AMRC,Industrials,25.8,25.87,26.33,-2.013,1.777,23.669724,1350335872.0,63.19,17.55,,502770.0,23.312485069295718
American Tower Corp.,AMT,Real Estate,195.96,195.55,196.17,-0.107,0.808,44.43538,91508424704.0,219.1,154.58,0.033,2447240.0,40.70674041939288
TD Ameritrade Holding Corp.,AMTD,Financial Services,1.62,1.63,1.63,-0.613,0.474,0.7297297,1726547328.0,4.86,1.565,,32285.0,59.265022608358066
American Movil S.A.B. De C.V.,AMX,Communication Services,18.01,17.6,17.62,2.213,0.275,17.152382,55492956160.0,22.26,16.0,0.0296,1621513.0,80.6490577653215
Autonation,AN,Consumer Cyclical,156.14,158.14,158.98,-1.786,1.211,7.379017,6287211520.0,182.08,123.81,,436357.0,35.90698184674086
Abercrombie & Fitch Company,ANF,Consumer Cyclical,179.24,179.6,178.53,0.398,1.554,22.321297,9160114176.0,196.99,33.38,,1519526.0,51.170358946555965
Alpine Total Dynamic Dividend,AOD,Financial Services,8.53,8.53,8.55,-0.234,,13.539682,899326400.0,8.56,7.02,0.080699995,248788.0,69.0096991778203
Aon Plc,AON,Financial Services,293.16,298.11,298.11,-1.66,0.907,22.921032,63742074880.0,344.68,268.06,0.0091,1609150.0,74.63016641950925
Smith [A.O.] Corp.,AOS,Industrials,80.73,80.84,81.06,-0.407,1.141,20.968832,11840669696.0,89.96,64.14,0.015800001,896570.0,44.07022585531848
Ampco-Pittsburgh Corp.,AP,Industrials,0.7649,0.76,0.7639,0.131,0.839,,15195351.0,4.0,0.74,,69580.0,9.164699497565508
Apache Corp.,APA,Energy,28.79,28.635,28.84,-0.173,3.27,3.2312012,10686617600.0,46.15,27.17,0.0347,5970014.0,55.374802806991326
Artisan Partners Asset Manageme,APAM,Financial Services,38.76,39.13,39.27,-1.299,1.811,11.7099695,2709579776.0,46.75,32.12,0.0621,414422.0,22.607265714497018
Air Products And Chemicals,APD,Basic Materials,254.7,254.27,254.9,-0.078,0.822,23.028933,56621338624.0,307.71,212.24,0.0278,1781544.0,24.407590074086386
Amphenol Corp.,APH,Technology,68.62,68.23,67.99,0.927,1.256,42.09816,82427035648.0,70.84,39.34,0.0128999995,7260496.0,66.36372180815077
Apollo Global Management LLc C,APO,Financial Services,116.68,115.74,115.92,0.656,1.587,13.110113,66391392256.0,120.8,76.0,0.016,2449996.0,24.21494897459104
American Reprographics Company,ARC,Industrials,2.96,2.92,2.91,1.718,1.157,14.8,127810728.0,3.69,2.56,0.0687,99337.0,74.61314822036107
Ares Dynamic Credit Allocation,ARDC,Financial Services,15.3,15.3,15.26,0.262,,6.219512,350597984.0,15.4,11.83,0.1164,95072.0,73.05142699414147
Alexandria Real Estate Equities,ARE,Real Estate,116.04,116.32,116.65,-0.523,1.162,108.44859,20293425152.0,135.45,90.73,0.0446,777006.0,44.95981839429114
Apollo Commercial Real Estate,ARI,Real Estate,9.95,9.9,9.92,0.302,1.805,,1414511872.0,12.74,9.22,0.14109999,890018.0,37.989641937523004
American Realty Investors,ARL,Real Estate,14.05,14.57,14.41,-2.498,0.649,78.05556,226935600.0,25.96,11.69,,5326.0,40.47444633120361
Armour Residential R,ARR,Real Estate,19.7,19.66,19.71,-0.051,1.506,,1025985920.0,26.9,13.32,0.1461,977316.0,34.23213422308092
Arrow Electronics,ARW,Technology,117.29,118.88,118.77,-1.246,1.266,9.184808,6243335168.0,147.42,108.51,,463957.0,18.7870557902546
Asa Gold And Precious Metals,ASA,Financial Services,18.92,18.84,18.93,-0.053,1.164,37.84,364964896.0,19.5,12.8,0.0021,54419.0,56.16242810523561
Ardmore Shipping Corporation,ASC,Industrials,20.0,20.28,20.39,-1.913,0.4,7.7220078,834584000.0,23.44,11.7,0.0608,704275.0,17.684691549128075
Liberty All-Star Growth Fund,ASG,Financial Services,5.38,5.4,5.4,-0.37,1.283,5.663158,323637120.0,5.71,4.47,0.0889,194947.0,76.17433015011552
On Assignment,ASGN,Technology,85.83,87.05,87.21,-1.582,1.399,19.868055,3939597056.0,106.42,75.52,,337803.0,18.644545420718188
Ashland Inc.,ASH,Basic Materials,92.16,92.34,92.48,-0.346,0.9,25.458565,4619741184.0,102.5,70.82,0.0175,364783.0,41.72627697754176
Grupo Aeroporuario Del Sureste,ASR,Industrials,303.51,301.8,300.7,0.934,0.798,15.290176,9105300480.0,357.9,165.0,0.018099999,42437.0,35.096557915526915
Advanced Semiconductor Engineering,ASX,Technology,11.96,12.08,11.78,1.528,1.083,24.408163,25831208960.0,12.23,7.2,0.0272,5438193.0,63.47727291248834
Allagheny Technologies Inc.,ATI,Industrials,57.53,57.91,58.2,-1.151,1.068,21.386616,7159090688.0,62.44,35.03,,1729511.0,56.24543091070456
Atmos Energy Llc,ATO,Utilities,114.77,113.65,114.08,0.605,0.665,17.310709,17316151296.0,125.28,101.0,0.028199999,1002939.0,48.92732317435769
Aptargroup,ATR,Healthcare,140.04,140.86,141.51,-1.039,0.565,30.051502,9279554560.0,151.73,113.37,0.0116,287193.0,33.133501192741335
Anglogold Ashanti Ltd,AU,Basic Materials,28.36,28.1,28.27,0.318,,,11913752576.0,29.08,14.91,0.0134000005,2049721.0,74.72901897545954
Avista Corp.,AVA,Utilities,33.9,33.45,33.57,0.983,0.456,14.008265,2650600448.0,40.13,30.53,0.056599997,462483.0,37.41479242482877
Avalonbay Communities,AVB,Real Estate,203.82,203.18,203.12,0.345,0.971,30.330359,28980350976.0,208.45,160.45,0.0335,672965.0,37.14762839890182
American Vanguard Corp.,AVD,Basic Materials,8.23,8.31,8.35,-1.437,0.908,32.92,230314064.0,18.26,7.97,0.014400001,238944.0,57.19067485355373
Advent Claymore Convertible Securities,AVK,Financial Services,11.98,12.02,12.0,-0.167,1.354,10.990825,414433696.0,12.22,9.24,0.1172,91357.0,53.97960040892398
Avnet,AVT,Technology,50.8,51.44,51.37,-1.11,1.181,8.193548,4591313920.0,55.46,42.67,0.0241,632547.0,23.426530425062907
Avery Dennison Corp.,AVY,Consumer Cyclical,213.0,215.08,215.1,-0.976,0.89,31.14035,17157874688.0,231.53,165.21,0.0164,444493.0,33.63245047017021
Alliance World Dollar Fund II,AWF,Financial Services,10.62,10.59,10.59,0.283,0.812,7.2739725,915759360.0,10.83,9.2,0.074200004,178154.0,57.138960452529105
Allied World Assurance Company,AWH,Healthcare,1.16,1.28,1.24,-6.452,1.54,,14441420.0,6.75,0.86,,92985.0,30.628990032715635
Armstrong World Industries Inc,AWI,Industrials,112.37,112.42,112.81,-0.39,1.138,21.161959,4917120512.0,125.56,68.35,0.0099,274198.0,37.076574313144796
American Water Works,AWK,Utilities,130.72,129.54,129.92,0.616,0.667,26.461538,25467262976.0,151.22,113.34,0.023599999,1270052.0,47.25559775135505
Alpine Global Premier Propertie,AWP,Financial Services,3.78,3.77,3.78,0.0,,,322842240.0,4.14,3.06,0.127,254363.0,36.36451191144239
American States Water Company,AWR,Utilities,72.88,72.1,72.37,0.705,0.452,23.89508,2713242112.0,89.93,66.03,0.0238,233537.0,68.6766672351422
American Axle & Manufacturing,AXL,Consumer Cyclical,6.77,6.67,6.71,0.894,2.045,,795833792.0,9.55,6.29,,1252227.0,24.099693889768318
American Express Company,AXP,Financial Services,237.75,234.97,234.51,1.382,1.213,19.567902,171014275072.0,244.41,140.91,0.0119,2985588.0,26.54135371277222
Amrep Corp.,AXR,Real Estate,19.3217,18.72,19.0,1.693,0.917,46.004047,101850664.0,24.36,15.38,,13031.0,49.88998001458898
Axis Capital Holdings,AXS,Financial Services,69.48,69.64,69.71,-0.33,0.904,10.623854,5882177024.0,74.05,52.02,0.0252,587001.0,27.391873156429682
Acuity Brands Inc,AYI,Industrials,236.34,238.46,238.57,-0.935,1.416,19.199024,7271094272.0,272.74,156.5,0.0025,262503.0,24.543645892543026
Astrazeneca Plc,AZN,Healthcare,76.67,76.92,77.13,-0.596,0.15,37.76847,237718388736.0,80.86,60.47,0.0188,4728945.0,16.59084623995767
Autozone,AZO,Consumer Cyclical,2817.06,2836.4,2836.4,-0.682,0.712,19.512781,48123273216.0,3256.37,2375.35,,146719.0,56.282967851166646
Azz Inc.,AZZ,Industrials,74.99,76.21,76.34,-1.768,1.25,21.67341,2232774656.0,86.94,42.15,0.0089,351834.0,60.89086223099246
Boise Cascade L.L.C. Common ST,BCC,Basic Materials,114.59,116.39,116.97,-2.035,1.483,9.308692,4523932672.0,154.673,87.32,0.0068,337568.0,19.902535159178356
Bce,BCE,Communication Services,31.54,31.63,31.73,-0.599,0.469,22.368795,28790341632.0,45.19,31.13,0.091400005,2059927.0,41.04247517358931
Banco De Chile,BCH,Financial Services,23.5,23.0,23.13,1.6,0.178,7.885906,11869497344.0,24.79,19.2,0.070700005,233965.0,52.77918530887427
Brink's Company,BCO,Industrials,101.22,101.99,101.78,-0.55,1.454,38.63359,4500443648.0,105.5,64.15,0.0095,257919.0,38.80635013653284
Barclays Plc,BCS,Financial Services,11.17,11.12,11.48,-2.7,1.388,8.398496,41312133120.0,11.57,6.23,0.030199999,13424050.0,35.10792598223128
Blackrock Resources Common Shar,BCX,Financial Services,9.32,9.32,9.36,-0.427,,,786265920.0,9.87,8.25,0.07,197591.0,57.4302337411955
Belden Inc,BDC,Technology,90.33,91.44,91.8,-1.601,1.058,17.677103,3674461952.0,99.13,60.55,0.0022,253029.0,31.950630236037
Blackrock Enhanced Dividend Achievers,BDJ,Financial Services,8.23,8.25,8.23,0.0,1.02,10.160493,1531891072.0,8.43,6.91,0.08189999,394695.0,35.897232291596765
Brandywine Realty Trust,BDN,Real Estate,4.31,4.34,4.36,-1.147,1.304,,744707648.0,5.67,3.62,0.1376,1384731.0,25.350444468933944
Becton Dickinson And Company,BDX,Healthcare,221.47,225.24,225.54,-1.805,0.444,47.42398,64006164480.0,287.32,220.65,0.0168,1403663.0,12.5328980080685
Beam Inc,BEAM,Healthcare,23.84,23.71,23.85,-0.042,1.871,,1962296704.0,49.5,16.95,,1404655.0,59.291575641014624
Franklin Resources,BEN,Financial Services,22.06,22.03,22.14,-0.361,1.448,12.751445,11605567488.0,30.32,21.57,0.055999998,4004781.0,24.74970524595068
Brookfield Renewable,BEP,Utilities,25.48,25.14,25.28,0.791,0.892,,16799269888.0,30.32,19.92,0.056199998,546727.0,28.464729084439355
Berry Plastics Group Inc.,BERY,Consumer Cyclical,58.14,59.17,59.43,-2.171,1.161,13.975962,6651215872.0,69.94,53.92,0.0185,1037408.0,29.804255073407205
Bright Horizons Family Solutions Inc.,BFAM,Consumer Cyclical,107.74,109.39,109.97,-2.028,1.451,75.34266,6249372160.0,119.21,71.65,,320359.0,40.59746453431066
Blackrock Florida Muni 2020 Trust,BFK,Financial Services,10.13,10.13,10.14,-0.099,0.639,67.53333,444249120.0,10.48,8.55,0.0592,84663.0,69.63107443403035
Saul Centers,BFS,Real Estate,36.62,36.88,36.93,-0.839,1.098,21.16763,1229044096.0,41.04,33.56,0.0639,53755.0,63.504215886646435
Blackrock California Muni Trust,BFZ,Financial Services,12.06,12.01,11.99,0.584,0.51,40.2,362567040.0,12.31,9.86,0.059,64826.0,61.84411811214169
Bunge Limited,BG,Consumer Defensive,109.95,110.15,110.39,-0.399,0.657,8.866936,15568370688.0,116.59,86.1,0.024600001,1407442.0,65.02989881353918
Blackstone / Gso Strategic Cre,BGB,Financial Services,12.13,12.11,12.07,0.497,,6.701658,541779200.0,12.22,10.47,0.1148,155663.0,73.69793355940443
General Cable Corp.,BGC,Financial Services,8.71,8.57,8.6,1.279,1.498,72.583336,4358919168.0,9.06,4.35,0.0093,3061139.0,58.4069639777678
Babson Capital Global Short Du,BGH,Financial Services,14.85,14.82,14.78,0.474,,6.2658234,297954848.0,14.85,11.92,0.104899995,59834.0,86.57361096137265
Blackrock Energy And Resources Trust,BGR,Financial Services,13.09,13.16,13.17,-0.607,1.031,18.971014,359516864.0,13.68,11.84,0.059899997,68375.0,40.11782238742308
B&G Foods Holdings,BGS,Consumer Defensive,7.68,7.8,7.82,-1.79,0.659,,607112448.0,15.15,7.2,0.097200006,1134127.0,48.17209771469226
Blackrock Global,BGT,Financial Services,12.9,13.1,13.06,-1.225,0.667,7.3714285,290197088.0,13.97,11.23,0.1105,91265.0,46.4705623971378
Blacstone Gso Long Short Credit Fund,BGX,Financial Services,12.74,12.65,12.64,0.791,,6.6354165,161903744.0,12.83,10.9,0.120900005,49286.0,75.27809727669442
Blackrock International,BGY,Financial Services,5.59,5.64,5.6,-0.179,0.878,6.6547623,560520512.0,5.7,4.68,0.072399996,193170.0,37.152001060079954
Biglari Holdings Inc.,BH,Consumer Cyclical,186.4,185.0,184.91,0.806,1.372,19.91453,582239040.0,219.0,137.01,,2596.0,44.56193162608896
Benchmark Electronics,BHE,Technology,38.68,39.37,39.3,-1.578,1.0,21.252747,1394251520.0,44.85,22.66,0.0168,407793.0,33.71957298103726
Blackrock Core Trust,BHK,Financial Services,10.69,10.67,10.65,0.376,0.724,10.378641,577670464.0,11.0,9.02,0.0841,130159.0,68.81898198111648
Berkshire Hills Bancorp,BHLB,Financial Services,22.33,22.14,22.21,0.54,0.89,44.66,966730432.0,25.79,18.31,0.0324,229619.0,47.364832021025784
Bhp Billiton Limited,BHP,Basic Materials,58.36,58.56,58.35,0.017,0.871,20.054983,148715274240.0,69.11,54.28,0.0521,2300309.0,27.588985004127736
Big Lots,BIG,Consumer Defensive,1.2,1.35,1.39,-13.669,2.264,,35618400.0,11.06,1.19,,1730708.0,13.761535675724346
Bio-Rad Laboratories,BIO,Healthcare,274.88,275.36,274.94,-0.022,0.93,,7884108288.0,431.79,261.59,,253075.0,34.90546211784917
Brookfield Infrastructure Partners Lp,BIP,Utilities,27.87,28.21,28.29,-1.485,1.032,89.90323,12861726720.0,36.58,21.03,0.0573,463098.0,30.500621314790322
Blackrock Multi-Sector Income T,BIT,Financial Services,14.65,14.67,14.7,-0.34,,24.416664,557085312.0,15.98,13.65,0.108100004,110986.0,62.138557749908905
Bank Of New York Mellon Corp.,BK,Financial Services,60.21,59.62,59.54,1.125,1.082,15.090225,45026000896.0,60.91,39.66,0.028199999,3413329.0,21.972687972005858
Brookdale Senior Living Inc.,BKD,Healthcare,7.15,7.22,7.24,-1.243,1.31,,1380042880.0,7.62,3.44,,1759390.0,71.4223847628258
Buckle,BKE,Consumer Cyclical,35.9,36.12,36.34,-1.211,1.085,8.486998,1822948224.0,48.15,30.31,0.0385,334665.0,30.453882454448603
Black Hills Corp.,BKH,Utilities,53.74,53.22,53.42,0.599,0.675,13.269135,3704475392.0,61.94,46.43,0.048699997,429949.0,39.701446313758126
Blackrock Investment Quality Municipal,BKN,Financial Services,11.93,11.89,11.93,0.0,0.562,56.80953,205265200.0,12.69,9.57,0.0573,36668.0,39.437378951124934
Blackrock Income Trust Inc.,BKT,Financial Services,11.97,11.99,11.95,0.167,0.431,17.347826,255053168.0,12.64,10.55,0.088599995,64016.0,68.99667467860405
Bankunited,BKU,Financial Services,29.6,28.67,28.79,2.813,1.34,12.758621,2212801280.0,34.22,20.84,0.0403,708524.0,50.06378472304656
Blackrock,BLK,Financial Services,802.28,793.51,790.19,1.53,1.331,20.388311,119218814976.0,845.0,596.18,0.025799999,587585.0,45.70902125238065
Blackrock Limited Duration Income Trust,BLW,Financial Services,14.09,14.05,14.0,0.643,0.742,7.7845306,503334272.0,14.26,12.35,0.096999995,86947.0,60.4253620505585
Banco Latinoamericano De Comercio,BLX,Financial Services,30.24,30.12,30.21,0.099,1.175,6.1338744,1104966528.0,31.62,20.02,0.066199996,119036.0,63.580713683227955
Banco Macro S.A.,BMA,Financial Services,55.49,55.29,55.19,0.544,1.733,3.921555,4985610240.0,68.24,17.3,0.083000004,414260.0,27.705628207104056
Blackrock Health Sciences Trust,BME,Financial Services,40.72,40.92,40.76,-0.098,0.669,28.277777,567799680.0,42.86,35.53,0.0627,33339.0,50.62499269513096
Badger Meter,BMI,Technology,185.46,187.31,187.78,-1.235,0.78,53.446686,5451355648.0,202.81,134.06,0.0058,188675.0,46.01170595313921
Bank Of Montreal,BMO,Financial Services,84.6,84.14,84.25,0.415,1.177,13.868853,61694803968.0,100.12,73.98,0.0539,862283.0,36.74831868235522
Biomed Realty Trust,BMR,Technology,5.29,5.32,5.44,-2.757,,,82055304.0,34.94,0.91,,1452252.0,56.94771160397316
Bristol-Myers Squibb Company,BMY,Healthcare,40.86,39.81,39.99,2.176,0.439,,82827304960.0,65.38,39.35,0.06,15163698.0,57.04575504910407
